patient_id,dose,viability,log_dose
ACH-002312,0.0625,0.6765382285672582,-2.772588722239781
ACH-002312,0.015625,0.6732493463346563,-4.1588830833596715
ACH-002312,0.00390625,0.7627580430498375,-5.545177444479562
ACH-000322,1.0,0.1641707124874428,0.0
ACH-000322,0.25,0.2396870851320095,-1.3862943611198906
ACH-000322,0.0625,0.3041769105143741,-2.772588722239781
ACH-000322,0.015625,0.2864781326974749,-4.1588830833596715
ACH-000322,0.00390625,0.3757829414904449,-5.545177444479562
ACH-000650,1.0,0.0713012995608003,0.0
ACH-000650,0.25,0.0747164354394496,-1.3862943611198906
ACH-000650,0.0625,0.0656574132110325,-2.772588722239781
ACH-000650,0.015625,0.0731036927760874,-4.1588830833596715
ACH-000650,0.00390625,0.064184413059615,-5.545177444479562
ACH-000121,1.0,0.309535102437831,0.0
ACH-000121,0.25,0.3946055092546532,-1.3862943611198906
ACH-000121,0.0625,0.7139796432709121,-2.772588722239781
ACH-000121,0.015625,0.7371237075416645,-4.1588830833596715
ACH-000121,0.00390625,0.6602814197973982,-5.545177444479562
ACH-000626,1.0,0.6277405904056541,0.0
ACH-000626,0.25,0.678002944888775,-1.3862943611198906
ACH-000626,0.0625,0.7097373606850873,-2.772588722239781
ACH-000626,0.015625,0.7812403657679613,-4.1588830833596715
ACH-000626,0.00390625,0.854790061987107,-5.545177444479562
ACH-000822,1.0,0.3379168756765254,0.0
ACH-000822,0.25,0.3593693294957172,-1.3862943611198906
ACH-000822,0.0625,0.3370905099670034,-2.772588722239781
ACH-000822,0.015625,0.3544961328544216,-4.1588830833596715
ACH-000822,0.00390625,0.3685655993202552,-5.545177444479562
ACH-002159,1.0,0.1377403327014656,0.0
ACH-002159,0.25,0.1632946044157029,-1.3862943611198906
ACH-002159,0.0625,0.1873381752223464,-2.772588722239781
ACH-002159,0.015625,0.2028671594026912,-4.1588830833596715
ACH-002159,0.00390625,0.2440495268876323,-5.545177444479562
ACH-000768,1.0,0.3789650047784125,0.0
ACH-000768,0.25,0.3260619007325087,-1.3862943611198906
ACH-000768,0.0625,0.4527230349773584,-2.772588722239781
ACH-000768,0.015625,0.6573952001516045,-4.1588830833596715
